,City,Max Temp,Lon,Lat,cloudiness,Wind Speed ,Humidity,Country,Date
276,haines junction,10.79,-137.51,60.75,0,2.9,53,CA,1567657701
277,sola,19.02,33.8,-3.17,31,0.79,55,TZ,1567657701
278,burla,12.16,78.33,53.34,53,3.15,66,RU,1567657702
279,hamilton,17.22,-79.87,43.26,20,3.6,81,CA,1567656851
280,baruun-urt,22.51,113.28,46.68,94,0.65,44,MN,1567657702
281,black river,29.0,-77.85,18.03,20,1.0,70,JM,1567657702
282,voh,21.2,164.69,-20.95,0,6.28,64,NC,1567657702
283,the valley,29.0,-63.06,18.22,20,4.6,74,AI,1567657685
284,wewak,23.72,143.63,-3.55,100,1.5,93,PG,1567657703
285,ilek,10.38,53.38,51.53,0,2.05,82,RU,1567657703
286,husavik,17.22,-96.99,50.56,100,1.79,73,CA,1567657703
287,leh,8.66,77.58,34.16,0,1.19,41,IN,1567657704
288,tuatapere,11.67,167.69,-46.13,0,3.13,71,NZ,1567657180
289,arkhara,25.7,130.09,49.42,4,3.34,70,RU,1567657704
290,fort-shevchenko,20.87,50.26,44.51,0,5.9,55,KZ,1567657704
291,thinadhoo,28.12,72.93,0.53,98,5.46,79,MV,1567657705
292,iskateley,12.59,53.15,67.68,94,3.18,95,RU,1567657705
293,chapada dos guimaraes,27.0,-55.75,-15.46,0,1.0,61,BR,1567657705
294,jackson,20.56,-110.76,43.48,1,2.6,29,US,1567657705
295,ostrovnoy,9.25,39.51,68.05,0,7.01,88,RU,1567657705
296,mitsamiouli,23.0,43.28,-11.38,20,3.1,78,KM,1567657706
297,pangai,24.0,-174.35,-19.8,90,2.1,88,TO,1567657706
298,nanortalik,5.0,-45.24,60.14,0,0.82,90,GL,1567657706
299,padang,27.06,100.36,-0.92,49,7.52,84,ID,1567657514
300,kaeo,13.89,173.78,-35.1,100,7.44,100,NZ,1567657151
301,charyshskoye,12.43,83.56,51.4,100,1.08,57,RU,1567657707
302,viedma,5.12,-62.99,-40.81,99,1.35,56,AR,1567657108
303,arraial do cabo,20.71,-42.02,-22.97,100,5.44,94,BR,1567657127
304,roald,10.0,6.12,62.58,75,4.6,76,NO,1567657120
305,aksarka,11.16,67.8,66.56,10,5.2,82,RU,1567657707
306,talara,16.62,-81.27,-4.58,0,5.5,93,PE,1567657708
307,yinchuan,20.79,106.21,38.48,24,2.41,56,CN,1567657708
308,neryungri,15.09,124.71,56.66,3,1.63,49,RU,1567657708
309,dingle,30.81,122.67,11.0,86,3.73,63,PH,1567657542
310,cacador,8.65,-51.02,-26.78,100,0.33,90,BR,1567657453
311,buala,27.08,159.59,-8.15,41,5.68,82,SB,1567657112
312,ovsyanka,22.11,126.91,53.58,80,1.54,55,RU,1567657709
313,arlit,35.05,7.39,18.74,8,2.74,24,NE,1567657709
314,brae,9.0,-1.35,60.4,100,8.7,76,GB,1567657710
315,antalaha,15.12,50.28,-14.9,50,2.14,98,MG,1567657710
316,maraba,27.0,-49.1,-5.35,0,1.0,74,BR,1567657710
317,galveston,16.11,-86.19,40.58,1,3.02,87,US,1567657710
318,nantucket,22.0,-70.1,41.28,75,3.1,100,US,1567657677
319,boddam,11.11,-1.78,57.47,76,5.1,75,GB,1567657711
320,makakilo city,30.0,-158.09,21.35,20,4.1,66,US,1567657658
321,muros,18.33,-9.06,42.77,75,6.2,76,ES,1567657114
322,lincoln,10.0,-0.54,53.23,0,3.1,76,GB,1567657711
323,cogua,11.0,-73.98,5.06,40,1.5,76,CO,1567657711
324,kutum,23.06,24.66,14.2,100,7.62,74,SD,1567657166
325,riwaka,14.44,173.0,-41.08,100,0.79,80,NZ,1567657712
326,the pas,11.0,-101.24,53.82,90,1.0,93,CA,1567657712
327,nagymaros,13.89,18.96,47.79,0,2.1,100,HU,1567657712
328,seda,15.0,22.09,56.17,0,4.6,82,LT,1567657713
329,sosua,28.0,-70.52,19.77,40,8.93,88,DO,1567657713
330,sijunjung,26.96,100.95,-0.69,49,1.28,62,ID,1567657713
331,ajdabiya,26.0,20.22,30.75,0,4.36,79,LY,1567657713
332,yarke pole,17.39,34.32,45.61,100,3.35,83,UA,1567657713
333,bundaberg,32.0,152.35,-24.87,0,6.2,15,AU,1567657610
334,poum,12.0,20.71,41.28,0,2.1,76,MK,1567657501
335,daru,25.45,143.21,-9.07,100,4.51,66,PG,1567657714
336,ust-kuyga,8.93,135.55,70.0,99,1.63,76,RU,1567657714
337,hobyo,24.69,48.53,5.35,100,8.47,78,SO,1567657118
338,honningsvag,9.0,25.97,70.98,0,3.1,81,NO,1567657163
339,beringovskiy,7.46,179.32,63.05,100,1.16,90,RU,1567657125
340,bol,27.43,14.72,13.47,100,5.15,78,TD,1567657715
341,port hawkesbury,20.56,-61.36,45.62,90,3.6,94,CA,1567657715
342,edd,29.7,41.69,13.93,84,1.85,50,ER,1567657716
343,oliveira,20.82,-44.83,-20.7,59,4.49,63,BR,1567657716
344,muroto,26.0,134.14,33.37,75,3.1,88,JP,1567657716
345,khani,19.0,42.96,41.96,40,0.5,93,GE,1567657716
346,el jicaro,18.21,-89.89,14.91,100,1.55,93,GT,1567657716
347,villa guerrero,17.08,-103.59,21.98,98,1.98,88,MX,1567657717
348,richards bay,20.82,32.06,-28.77,42,5.77,74,ZA,1567657717
349,paita,16.43,-81.11,-5.09,0,4.63,93,PE,1567657655
350,hohhot,25.0,111.65,40.81,0,2.0,31,CN,1567657717
351,araouane,33.99,-3.53,18.9,28,5.63,26,ML,1567657718
352,yarensk,9.17,49.09,62.17,0,2.1,95,RU,1567657718
353,uray,9.46,64.8,60.13,5,1.6,92,RU,1567657718
354,alofi,22.0,-169.92,-19.06,100,10.59,100,NU,1567656909
355,walvis bay,13.0,14.51,-22.95,90,2.1,82,NA,1567657719
356,pishin,24.85,67.0,30.58,0,0.99,39,PK,1567657719
357,tapiramuta,15.84,-40.79,-11.85,0,1.89,97,BR,1567657719
358,yumen,29.11,97.04,40.29,0,7.07,19,CN,1567657719
359,sotuta,25.38,-89.01,20.6,36,2.76,90,MX,1567657721
360,les cayes,29.18,-73.75,18.19,1,6.83,75,HT,1567657721
361,narsaq,5.0,-46.05,60.91,0,1.0,57,GL,1567657515
362,kaitangata,9.44,169.85,-46.28,94,4.02,67,NZ,1567657721
363,ballina,11.67,-9.15,54.11,60,4.47,83,IE,1567657722
364,adrar,25.0,-0.29,27.87,0,4.6,41,DZ,1567657722
365,aromashevo,9.43,68.64,56.86,1,1.48,86,RU,1567657722
366,lerwick,9.0,-1.15,60.15,100,9.3,70,GB,1567657166
367,pochutla,29.0,-96.47,15.74,5,2.01,70,MX,1567657137
368,minsk,7.0,27.56,53.9,0,1.78,100,BY,1567657722
369,linxia,20.17,103.21,35.6,0,3.03,50,CN,1567657723
370,general roca,6.0,-67.58,-39.03,0,7.2,41,AR,1567657723
371,flinders,22.22,150.85,-34.58,40,4.6,59,AU,1567657221
372,aykhal,4.0,111.51,65.95,90,3.0,100,RU,1567657723
373,shubarshi,11.83,57.19,48.59,0,3.25,69,KZ,1567657725
374,san vicente de canete,14.88,-76.38,-13.08,79,3.02,90,PE,1567657725
375,agucadoura,19.44,-8.78,41.43,0,4.6,68,PT,1567657725
376,bandarbeyla,24.82,50.81,9.49,78,12.02,66,SO,1567657725
377,cururupu,21.87,-44.87,-1.82,29,0.97,97,BR,1567657136
378,sandpoint,20.0,-116.55,48.28,1,0.66,62,US,1567657716
379,puerto madero,9.0,-58.36,-34.61,40,4.1,49,AR,1567657726
380,mattru,22.95,-11.83,7.62,51,1.35,98,SL,1567657159
381,wanlaweyn,23.26,44.89,2.62,82,5.17,86,SO,1567657726
382,nelson bay,22.22,152.14,-32.72,20,5.1,64,AU,1567657726
383,nueva concepcion,27.88,-91.3,14.2,100,1.05,71,GT,1567657727
384,iranshahr,34.0,60.69,27.21,0,1.95,13,IR,1567657727
385,san jacinto,8.89,-55.87,-34.54,20,3.6,56,UY,1567657727
386,montague,20.0,-62.65,46.17,75,7.2,82,CA,1567657727
387,cap malheureux,24.44,57.61,-19.98,40,5.7,73,MU,1567657158
388,mikkeli,11.0,27.27,61.69,90,1.5,100,FI,1567657728
389,auki,22.73,6.51,12.18,65,3.32,94,NG,1567657186
390,pringsewu,29.46,104.98,-5.36,58,1.19,51,ID,1567657728
391,kodinsk,9.7,99.18,58.6,100,1.03,97,RU,1567657728
392,porto murtinho,20.14,-57.88,-21.7,67,3.97,38,BR,1567657729
393,kisanga,12.63,27.4,-11.72,82,2.04,62,CD,1567657729
394,ixtapa,28.0,-105.21,20.71,90,2.87,78,MX,1567657729
395,kottapalli,25.83,79.09,18.49,100,7.17,84,IN,1567657730
396,arman,11.73,150.17,59.7,100,3.02,92,RU,1567657730
397,shuya,12.67,41.38,56.84,100,2.56,76,RU,1567657730
398,pestovo,16.11,37.98,55.36,100,3.0,87,RU,1567657731
399,taoudenni,36.07,-3.98,22.68,1,5.29,23,ML,1567657731
400,casambalangan,29.6,122.13,18.38,100,5.43,74,PH,1567657731
401,coruripe,19.76,-36.18,-10.12,1,1.57,95,BR,1567657731
402,constitucion,15.56,-104.67,23.99,100,2.24,86,MX,1567657732
403,acari,23.6,-36.64,-6.44,5,5.01,73,BR,1567657732
404,kaohsiung,32.0,120.31,22.62,75,5.7,66,TW,1567657732
405,kruisfontein,11.78,24.73,-34.0,100,2.95,89,ZA,1567657732
406,airai,28.23,125.41,-8.93,40,2.83,47,TL,1567657172
407,fairbanks,16.0,-147.72,64.84,75,2.6,62,US,1567657643
408,washington,26.11,-77.04,38.9,90,2.41,83,US,1567657563
409,salekhard,10.52,66.62,66.54,3,4.07,84,RU,1567657733
410,shimanovsk,17.03,127.67,52.0,100,1.77,90,RU,1567657733
411,skjervoy,9.0,20.97,70.03,75,3.1,76,NO,1567657734
412,muzhi,10.96,64.7,65.4,23,3.4,81,RU,1567657734
413,verin,15.0,-7.44,41.94,0,1.34,72,ES,1567657626
414,lardos,24.0,28.02,36.09,0,4.1,78,GR,1567657734
415,catu,24.0,-38.38,-12.35,40,3.1,94,BR,1567657735
416,curup,28.42,102.53,-3.47,0,0.53,50,ID,1567657735
417,comodoro rivadavia,0.0,-67.48,-45.87,0,1.5,50,AR,1567657709
418,yar-sale,11.18,70.83,66.83,26,4.99,79,RU,1567657735
419,manaure,28.1,-72.45,11.78,100,9.48,83,CO,1567657736
420,bucerias,28.0,-105.33,20.76,90,2.87,78,MX,1567657736
421,vostok,24.81,135.83,46.45,78,3.72,51,RU,1567657214
422,chapleau,7.31,-83.4,47.85,0,3.28,86,CA,1567657736
423,letka,20.0,17.27,43.74,0,1.0,77,BA,1567657736
424,cairns,28.0,145.77,-16.92,15,2.6,34,AU,1567657216
425,dombas,2.0,9.12,62.07,100,5.33,96,NO,1567657737
426,yashan,26.43,118.02,30.81,98,2.36,81,CN,1567657737
427,okhotsk,19.07,143.24,59.36,0,5.48,44,RU,1567657198
428,nishihara,31.67,139.53,35.74,90,1.31,69,JP,1567657197
429,leua,17.38,20.45,-11.65,95,1.43,40,AO,1567657737
430,vallenar,6.96,-70.76,-28.58,14,1.47,88,CL,1567657173
431,nacala,17.64,40.69,-14.56,95,2.19,98,MZ,1567657738
432,beloha,17.83,45.06,-25.17,58,1.93,97,MG,1567657738
433,devonport,13.33,146.36,-41.18,66,2.68,51,AU,1567657738
434,ponca city,25.56,-97.07,36.73,1,2.1,100,US,1567657739
435,vera cruz,24.0,-38.61,-12.96,40,3.1,94,BR,1567657739
436,kukushtan,12.0,56.5,57.65,75,3.0,100,RU,1567657739
437,komsomolskiy,10.5,63.78,67.55,50,5.12,77,RU,1567657739
438,faanui,25.6,-151.75,-16.48,0,10.25,81,PF,1567657740
439,vao,10.43,26.19,59.1,96,3.59,96,EE,1567657156
440,chicama,17.0,-79.15,-7.84,75,3.1,88,PE,1567657740
441,hervey bay,32.0,152.85,-25.3,0,6.2,15,AU,1567657740
442,port hedland,27.0,118.58,-20.31,0,5.7,54,AU,1567657740
443,biguacu,14.44,-48.66,-27.49,75,4.1,62,BR,1567657741
444,puerto palomas,27.0,-107.63,31.78,1,2.6,24,US,1567657741
445,smoky lake,14.13,-112.47,54.11,32,1.46,89,CA,1567657741
446,bilibino,9.86,166.44,68.06,0,2.14,32,RU,1567657741
447,tshikapa,22.49,20.79,-6.42,73,0.88,71,CD,1567657742
448,kloulklubed,29.0,134.26,7.04,75,8.2,79,PW,1567657626
449,chegutu,12.87,30.15,-18.13,0,2.26,43,ZW,1567657742
450,dongsheng,27.97,112.52,29.72,67,3.85,60,CN,1567657742
451,marystown,16.98,-55.16,47.17,97,3.57,96,CA,1567657742
452,syava,8.51,46.32,58.01,0,1.71,91,RU,1567657743
453,ornskoldsvik,11.0,18.72,63.29,75,6.7,81,SE,1567657743
454,rongcheng,23.81,122.42,37.16,3,4.11,74,CN,1567657743
455,ngara,27.42,120.99,-8.5,1,3.42,47,ID,1567657743
456,sioux lookout,14.0,-91.92,50.1,90,1.88,82,CA,1567657192
457,kulu,19.32,23.69,3.47,100,0.79,98,CD,1567657744
458,nikolsk,8.22,45.45,59.53,43,2.32,95,RU,1567657744
459,chute-aux-outardes,11.11,-68.38,49.12,75,5.1,81,CA,1567657744
460,san rafael,5.7,-68.33,-34.61,100,4.11,35,AR,1567657164
461,port jervis,22.22,-74.69,41.38,1,2.1,77,US,1567657745
462,burns lake,11.83,-125.76,54.23,3,1.87,63,CA,1567657745
463,pimentel,23.44,-45.5,-3.7,4,2.17,88,BR,1567657745
464,high prairie,10.79,-116.48,55.43,40,3.45,90,CA,1567657745
465,rovaniemi,7.0,25.72,66.5,90,2.1,100,FI,1567657746
466,sekondi,23.38,-1.71,4.94,100,1.55,93,GH,1567657746
467,kenai,15.0,-151.26,60.55,1,6.7,76,US,1567657746
468,nuuk,5.0,-51.74,64.17,100,14.9,93,GL,1567657747
469,valparaiso,18.0,-87.06,41.47,75,2.31,100,US,1567657510
470,lasa,23.0,32.53,34.92,20,3.6,83,CY,1567657747
471,montclair,25.0,-74.21,40.83,1,4.1,57,US,1567657747
472,chake chake,25.2,39.77,-5.25,0,4.7,78,TZ,1567657708
473,abalak,30.5,6.28,15.46,3,3.96,41,NE,1567657747
474,wattegama,26.66,80.68,7.35,93,3.35,65,LK,1567657708
475,bytow,17.22,17.49,54.17,0,2.1,63,PL,1567657748
476,boyolangu,28.06,111.9,-8.09,3,3.55,45,ID,1567657684
477,dargaville,14.63,173.86,-35.94,83,13.01,92,NZ,1567657748
478,duverge,21.94,-71.52,18.38,71,3.93,91,DO,1567657748
479,minas,8.0,-55.24,-34.38,75,7.2,65,UY,1567657749
480,beihai,26.67,121.19,38.95,75,5.0,69,CN,1567657749
481,myitkyina,25.87,97.4,25.38,70,1.04,88,MM,1567657749
482,vilhena,29.25,-60.15,-12.74,62,0.52,33,BR,1567657749
483,dangriga,26.11,-88.23,16.97,85,0.66,85,BZ,1567657750
484,ngunguru,13.33,174.5,-35.62,42,6.26,88,NZ,1567657750
485,novouzensk,11.66,48.14,50.46,0,2.61,65,RU,1567657750
486,vila franca do campo,21.67,-25.43,37.72,20,4.1,72,PT,1567657178
487,ardakan,26.0,54.02,32.31,0,2.1,22,IR,1567657750
488,labuan,33.0,115.24,5.28,75,1.0,74,BN,1567657665
489,peniche,18.0,-9.38,39.36,0,5.7,77,PT,1567657751
490,krasnogorsk,16.11,37.34,55.82,90,2.0,100,RU,1567657751
491,bloemfontein,4.0,26.22,-29.12,0,0.5,48,ZA,1567657751
492,san vicente,20.0,-80.41,-0.59,40,3.1,82,EC,1567657752
493,vanavara,10.49,102.28,60.35,55,3.18,78,RU,1567657215
494,requena,24.0,-1.1,39.49,20,2.1,73,ES,1567657752
495,hornepayne,11.29,-84.78,49.22,79,3.42,72,CA,1567657752
496,iseyin,22.39,3.6,7.97,100,2.46,95,NG,1567657753
497,tulun,11.11,100.58,54.56,100,4.23,82,RU,1567657753
498,barinitas,11.01,-70.41,8.76,85,0.97,91,VE,1567657753
499,kyzyl-suu,14.65,78.0,42.34,92,9.11,78,KG,1567657753
500,sterling,26.11,-77.4,39.0,40,1.5,61,US,1567657754
501,den helder,15.0,4.76,52.96,75,9.3,72,NL,1567657754
502,ingham,30.08,146.16,-18.65,0,2.87,13,AU,1567657754
503,franca,22.12,-47.4,-20.54,7,3.9,60,BR,1567657472
504,rocha,1.45,-54.34,-34.48,1,1.58,88,UY,1567657476
505,mana,25.03,5.27,13.03,100,5.42,81,NG,1567657755
506,batagay-alyta,4.42,130.41,67.8,83,2.3,77,RU,1567657755
507,xinyang,26.67,114.07,32.13,6,3.12,58,CN,1567657755
508,mokhsogollokh,12.0,128.95,61.4,97,3.08,79,RU,1567657755
509,canberra,20.56,149.1,-35.3,40,3.6,37,AU,1567657756
510,moranbah,29.68,148.04,-22.0,0,1.48,10,AU,1567657756
511,talant,14.0,5.0,47.34,90,3.6,76,FR,1567657756
512,prince rupert,12.0,-130.32,54.32,1,0.42,93,CA,1567657757
513,beneditinos,28.0,-42.36,-5.46,0,4.6,74,BR,1567657757
514,xingyi,21.41,102.82,24.19,70,1.85,69,CN,1567657757
515,san juan,1.03,-68.53,-31.54,6,0.94,36,AR,1567657680
516,nichinan,29.0,131.31,31.65,75,4.1,74,JP,1567657758
517,kuryk,16.71,51.68,43.18,0,2.02,40,KZ,1567657758
518,novobirilyussy,12.25,90.69,56.95,0,1.03,81,RU,1567657758
519,isangel,24.0,169.27,-19.55,40,4.1,60,VU,1567657666
520,parvatsar,30.82,74.77,26.88,71,1.4,63,IN,1567657760
521,plattsburgh,16.67,-73.46,44.69,90,4.68,72,US,1567657760
522,anadyr,9.0,177.51,64.73,75,3.0,76,RU,1567657181
523,port lincoln,13.02,135.86,-34.72,46,12.01,65,AU,1567657760
524,sorong,29.53,131.25,-0.86,51,3.56,65,ID,1567657761
525,fiumicino,20.0,12.23,41.77,0,1.5,77,IT,1567657761
526,khipro,32.02,69.38,25.83,100,3.81,62,PK,1567657761
527,panguna,26.02,155.48,-6.32,100,10.61,81,PG,1567657762
528,shagonar,13.62,92.92,51.54,98,0.85,65,RU,1567657762
529,vulcan,18.33,-113.26,50.4,7,3.61,52,CA,1567657762
530,rivadavia,1.03,-68.59,-31.53,6,0.94,36,AR,1567657762
531,ahipara,13.89,173.16,-35.17,100,20.77,100,NZ,1567657213
532,tabou,23.33,-7.36,4.42,100,1.78,94,CI,1567657763
533,lokosovo,10.54,74.84,61.13,53,2.14,84,RU,1567657763
534,shenjiamen,27.12,122.3,29.96,49,4.09,85,CN,1567657763
535,batamshinskiy,9.0,58.27,50.56,75,3.0,93,KZ,1567657763
536,zhaoqing,29.26,112.47,23.05,15,3.03,72,CN,1567657764
537,tahoua,30.09,5.26,14.89,0,5.95,50,NE,1567657764
538,redmond,19.44,-122.12,47.67,1,4.1,82,US,1567657764
539,grants,16.0,-107.85,35.15,1,1.5,31,US,1567657764
540,vikhorevka,11.67,101.17,56.12,75,4.0,87,RU,1567657765
541,saint anthony,24.0,-111.68,43.97,1,4.1,35,US,1567657683
542,mikhaylovka,12.77,103.29,52.96,100,7.97,79,RU,1567657765
543,rome,20.0,12.48,41.89,0,1.0,77,IT,1567657765
544,mahina,24.59,-10.85,13.76,13,1.54,85,ML,1567657766
545,deputatskiy,9.62,139.9,69.3,2,3.48,39,RU,1567657766
546,ciechocinek,15.0,18.79,52.88,0,2.6,71,PL,1567657766
547,la joya,28.0,-98.48,26.25,1,3.6,88,US,1567657766
548,mongu,14.84,23.14,-15.27,0,1.73,34,ZM,1567657767
549,sistranda,11.67,8.83,63.73,75,1.5,93,NO,1567657723
550,severnyy-kospashskiy,10.53,57.8,59.09,77,0.32,97,RU,1567657767
551,ugoofaaru,28.06,73.0,5.67,30,3.18,77,MV,1567657647
552,leshukonskoye,11.07,45.76,64.9,100,2.15,97,RU,1567657767
